caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2018-073,6/20/19,1,,139 S. Ct. 2149,2018,1707,18-485,MCDONOUGH v. SMITH,4/17/19,,100,,19,37,1,0,95,,22,,0,2,2,1,1,4,0,1,0,0,20400,2,2,,4,,3,314,NA,113,111,1,6,3
2018-074,6/24/19,1,,139 S. Ct. 2356,2018,1707,18-481,FOOD MARKETING INSTITUTE v. ARGUS LEADER MEDIA,4/22/19,,228,,190,,1,0,115,,28,,0,12,2,2,1,4,0,1,0,0,50040,5,1,0,4,,3,335,NA,115,111,1,6,3
2018-076,6/3/19,1,,139 S. Ct. 1795,2018,1707,18-489,TAGGART v. LORENZEN,4/24/19,,138,,135,,1,0,20,,29,,0,11,2,1,1,5,0,1,0,0,80030,8,2,,4,,3,307,NA,110,111,1,9,0
2018-078,5/28/19,2,,139 S. Ct. 1780,2018,1707,18-483,BOX v. PLANNED PARENTHOOD OF IND. & KY.,,,7,18,192,,1,,69,,27,,0,12,2,2,1,3,1,1,0,0,50020,5,1,,3,,8,800,NA,,111,1,7,2
2019-004,6/15/20,1,,140 S. Ct. 1731,2019,1707,17-1618,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",10/8/19,,145,,5,13,1,0,60,,31,,0,2,2,1,1,4,0,1,0,0,20140,2,2,0,4,,3,384,NA,115,111,1,6,3
2019-006,6/1/20,1,,140 S. Ct. 1649,2019,1707,18-1334,"FINANCIAL OVERSIGHT AND MANAGEMENT BOARD FOR PUERTO RICO v. AURELIUS INVESTMENT, LLC",10/15/19,,501,,135,,1,0,112,,21,,0,10,3,1,1,4,0,1,0,0,100030,10,2,,1,,1,135,NA,110,111,1,9,0
2019-007,12/10/19,1,,140 S. Ct. 355,2019,1707,18-328,ROTKISKE v. KLEMM,10/16/19,,138,,135,,1,0,109,,23,,0,2,2,1,1,2,0,0,0,0,80170,8,1,0,4,,6,600,15 USC 1692 (Fair Debt Collection Practices Act),108,111,1,8,1
2019-009,3/3/20,1,,140 S. Ct. 791,2019,1707,17-834,KANSAS v. GARCIA,10/16/19,,28,20,106,,1,0,301,20,300,20,1,12,3,2,1,4,0,1,0,0,100030,10,1,0,4,,3,344,NA,112,111,1,5,4
2019-010,4/23/20,1,,140 S. Ct. 1442,2019,1707,18-725,BARTON v. BARR,11/4/19,,106,,327,,1,0,30,,31,,0,2,2,1,1,2,0,0,0,0,20310,2,1,0,4,,6,600,8 U.S.C. 1229,116,111,1,5,4
2019-012,3/23/20,1,,140 S. Ct. 994,2019,1707,18-877,ALLEN v. COOPER,11/5/19,,112,,28,38,1,0,98,,24,,0,10,3,1,2,2,0,0,0,0,100120,10,1,,1,,6,600,"Copyright Remedy Clarification Act, 17 U.S.C. 511",114,111,1,9,0
