caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2010-030,3/22/11,1,563 U.S. 27,131 S. Ct. 1309,2010,1704,09-1156,"MATRIXX INITIATIVES, INC., et al., PETITIONERS v. JAMES SIRACUSANO et al.",1/10/11,,143,,173,,1,0,45,,29,,0,12,4,2,1,2,0,0,0,0,80120,8,2,0,4,5,3,365,NA,113,111,1,9,0
2010-031,3/29/11,1,563 U.S. 51,131 S. Ct. 1350,2010,1704,09-571,"HARRY F. CONNICK, DISTRICT ATTORNEY, et al., PETITIONERS v. JOHN THOMPSON",10/6/10,,19,6,126,,1,0,75,,25,,1,12,2,2,1,3,0,1,0,0,20400,2,1,0,4,,3,314,NA,108,111,1,5,4
2010-036,4/20/11,1,563 U.S. 277,131 S. Ct. 1651,2010,1704,08-1438,"HARVEY LEROY SOSSAMON, III, PETITIONER v. TEXAS et al.",11/2/10,,215,,28,51,1,0,122,,25,,0,2,2,1,1,2,0,0,0,0,20400,2,1,0,4,,6,600,42-2000cc,108,111,1,6,2
2010-037,4/19/11,1,563 U.S. 247,131 S. Ct. 1632,2010,1704,09-529,"VIRGINIA OFFICE FOR PROTECTION AND ADVOCACY, PETITIONER v. JAMES W. STEWART III, COMMISSIONER, VIRGINIA DEPARTMENT OF BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES, et al.",12/1/10,,7,55,19,55,1,0,126,,24,,0,12,4,1,1,4,0,1,0,0,100070,10,2,0,2,4,2,224,NA,105,105,1,6,2
2010-040,4/27/11,1,563 U.S. 333,131 S. Ct. 1740,2010,1704,09-893,"AT&T MOBILITY LLC, PETITIONER v. VINCENT CONCEPCION",11/9/10,,205,,134,,1,0,51,,29,,0,12,2,2,1,4,0,1,0,0,80160,8,1,0,4,,3,388,NA,105,111,1,5,4
2010-041,4/26/11,1,563 U.S. 307,131 S. Ct. 1723,2010,1704,09-846,"UNITED STATES, PETITIONER v. TOHONO O'ODHAM NATION",11/1/10,,27,,170,,1,0,3,,8,,1,12,4,2,1,4,0,1,0,0,20150,2,1,0,4,,6,600,28-1500,106,111,1,7,1
2010-042,5/16/11,1,563 U.S. 401,131 S. Ct. 1885,2010,1704,10-188,"SCHINDLER ELEVATOR CORPORATION, PETITIONER v. UNITED STATES ex rel. DANIEL KIRK",3/1/11,,176,,230,,1,0,96,,22,,0,12,5,2,1,4,0,1,0,0,50040,5,1,0,4,5,3,335,NA,108,111,1,5,3
2010-043,5/16/11,1,563 U.S. 421,131 S. Ct. 1866,2010,1704,09-804,"CIGNA CORPORATION, et al., PETITIONERS v. JANICE C. AMARA, et al., INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",11/30/10,,151,,145,,1,0,53,,22,,0,11,2,2,1,5,0,1,0,0,80090,8,1,0,4,,3,323,NA,110,111,1,8,0
2010-045,5/23/11,1,563 U.S. 478,131 S. Ct. 1900,2010,1704,09-1298,"GENERAL DYNAMICS CORPORATION, PETITIONER, v. UNITED STATES",1/18/11,,176,,27,,1,0,3,,8,,0,11,2,2,1,5,0,1,0,0,50010,5,1,0,4,,,,41-609,105,111,1,9,0
2010-047,5/26/11,1,563 U.S. 582,131 S. Ct. 1968,2010,1704,09-115,"CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA, et al., PETITIONERS v. MICHAEL B. WHITING ET AL",12/8/10,,216,,19,4,1,0,45,,29,,0,12,2,1,1,2,0,0,0,0,100030,10,1,0,4,,3,344,NA,111,111,1,5,3
2010-051,5/31/11,1,563 U.S. 754,131 S. Ct. 2060,2010,1704,6-Oct,"GLOBAL-TECH APPLIANCES, INC., et al., PETITIONERS v. SEB S.A.",2/23/11,,184,,172,,1,0,96,,8,,0,12,2,2,1,2,0,0,0,0,80180,8,2,0,4,,6,600,35-271,112,111,1,8,1
2010-052,5/31/11,1,563 U.S. 731,131 S. Ct. 2074,2010,1704,Oct-98,"JOHN D. ASHCROFT, PETITIONER v. ABDULLAH AL-KIDD",3/2/11,,1,,174,,1,0,64,,29,,1,12,2,2,1,4,0,1,0,0,80060,8,2,0,5,4,6,600,18-3144,105,111,1,8,0
2010-055,6/6/11,1,563 U.S. 776,131 S. Ct. 2188,2010,1704,09-1159,"BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY, PETITIONER v. ROCHE MOLECULAR SYSTEMS, INC., et al.",2/28/11,,176,,143,,1,0,50,,8,,0,12,5,1,1,2,0,0,0,0,80180,8,1,0,4,,6,600,35-200,111,111,1,7,2
2010-057,6/9/11,1,564 U.S. 91,131 S. Ct. 2238,2010,1704,10-290,"MICROSOFT CORPORATION, PETITIONER v. I4I  LIMITED PARTNERSHIP et al.",4/18/11,,133,,133,,1,0,119,,8,,0,12,2,2,1,2,0,0,0,0,80210,8,2,0,4,,6,600,35-282,113,105,1,8,0
2010-059,6/9/11,1,564 U.S. 50,131 S. Ct. 2254,2010,1704,10-313,"TALK AMERICA, PETITIONER v. MICHIGAN BELL TELEPHONE COMPANY DBA AT&T MICHIGAN",3/30/11,,205,,205,,1,0,81,,26,,1,2,2,1,1,3,0,1,0,0,80340,8,2,0,5,,3,326,NA,108,111,1,8,0
2010-061,6/13/11,5,564 U.S. 210,131 S. Ct. 2312,2010,1704,1-Sep,"RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES",11/10/10,,106,,27,,1,0,,,29,,0,12,,1,1,2,0,0,0,0,20270,2,1,0,3,,9,900,NA,,,1,4,4
2010-062,6/13/11,1,564 U.S. 162,131 S. Ct. 2313,2010,1704,10-382,"UNITED STATES, PETITIONER v. JICARILLA APACHE NATION",4/20/11,,27,,170,,1,0,3,,8,,0,12,2,2,1,4,0,1,0,0,20150,2,1,0,4,7,6,600,28-1491,112,111,1,7,1
2010-063,6/13/11,1,564 U.S. 135,131 S. Ct. 2296,2010,1704,09-525,"JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS",12/7/10,,173,,237,,1,0,79,,24,,0,11,3,2,1,3,0,1,0,0,80120,8,1,0,5,,3,365,NA,108,111,1,5,4
2010-068,6/16/11,1,564 U.S. 299,131 S. Ct. 2368,2010,1704,09-1205,"KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION",1/18/11,,134,,143,,1,0,83,,28,,0,2,2,2,1,3,0,1,0,0,100020,10,1,0,4,,6,600,28-2283,114,111,1,9,0
2010-072,6/20/11,1,564 U.S. 410,131 S. Ct. 2527,2010,1704,10-174,"AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL",4/19/11,,148,,28,8,1,0,96,,22,,0,12,5,2,1,4,0,1,0,0,80130,8,1,0,4,,3,304,NA,109,111,1,8,0
2010-074,6/23/11,1,564 U.S. 685,131 S. Ct. 2630,2010,1704,10-235,"CSX TRANSPORTATION, INC., PETITIONER v. ROBERT MCBRIDE",3/28/11,,231,,145,,1,0,67,,27,,0,11,2,2,1,2,0,0,0,0,80040,8,2,0,4,7,3,329,NA,109,108,1,5,4
2010-076,6/23/11,1,564 U.S. 604,131 S. Ct. 2567,2010,1704,09-993,"PLIVIA, INC., et al., PETITIONERS v. GLADYS MENSING",3/30/11,,143,,134,,1,0,83,,28,,0,12,2,1,1,4,0,1,0,0,100030,10,2,0,1,,1,148,NA,108,111,1,5,4
2011-004,11/7/11,2,565 U.S. 18,132 S. Ct. 23,2011,1704,10-1521,KPMG LLP v. ROBERT COCCHI et al.,,,119,,173,,1,0,302,12,301,12,0,12,2,2,1,5,0,1,0,0,80160,8,1,0,4,,6,600,1-Sep,,111,1,9,0
2011-007,1/10/12,1,565 U.S. 95,132 S. Ct. 665,2011,1704,10-948,COMPUCREDIT CORPORATION et al. v. WANDA GREENWOOD et al.,10/11/11,,135,,134,,1,0,50,,29,,1,12,2,2,1,4,0,1,0,0,80160,8,1,0,4,,6,600,15-1679,105,111,1,8,1
2011-010,1/11/12,1,565 U.S. 207,132 S. Ct. 680,2011,1704,10-507,"PACIFIC OPERATORS OFFSHORE, LLP, et al. v. LUISA L. VALLADOLID ET AL",10/11/11,,198,,145,,1,0,29,,29,,0,2,3,2,1,2,0,0,0,0,80040,8,2,0,4,,3,349,NA,108,111,1,9,0
2011-013,12/12/11,1,565 U.S. 42,132 S. Ct. 476,2011,1704,10-694,"JOEL JUDULANG, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",10/12/11,,106,,1,,1,0,29,,29,,0,2,2,1,1,4,0,1,0,0,20110,2,2,0,4,,3,344,NA,114,111,1,9,0
2011-014,1/18/12,1,565 U.S. 368,132 S. Ct. 740,2011,1704,10-1195,"MARCUS D. MIMS, PETITIONER v. ARROW FINANCIAL SERVICES, LLC",11/28/11,,134,,135,,1,0,58,,31,,0,2,2,1,1,4,0,1,0,0,80170,8,2,0,4,,6,600,47-227,109,111,1,9,0
2011-015,1/18/12,1,565 U.S. 302,132 S. Ct. 873,2011,1704,10-545,"LAWRENCE GOLAN, et al. v. ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al.",10/5/11,,112,,1,,1,0,52,,30,,0,11,3,1,1,2,0,0,0,0,80190,8,1,0,1,1,1,114,NA,109,111,1,6,2
2011-016,1/18/12,1,565 U.S. 266,132 S. Ct. 912,2011,1704,Oct-63,"CORY R. MAPLES, PETITIONER v. KIM T. THOMAS, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS",10/4/11,,126,,28,1,1,0,42,,31,,1,11,9,1,1,4,0,1,0,0,20320,2,2,0,7,,9,900,NA,109,111,1,7,2
2011-019,1/23/12,1,565 U.S. 452,132 S. Ct. 965,2011,1704,10-224,"NATIONAL MEAT ASSOCIATION, PETITIONER v. KAMALA D. HARRIS, ATTORNEY GENERAL OF CALIFORNIA, et al.",11/9/11,,158,,19,6,1,0,49,,29,,0,12,3,1,1,4,0,1,0,0,100030,10,2,0,4,5,6,600,21-601,114,111,1,9,0
2011-021,1/20/12,6,565 U.S. 388,132 S. Ct. 934,2011,1704,11-713,"RICK PERRY, GOVERNOR OF TEXAS, et al., APPELLANTS v. SHANNON PEREZ et al.",1/9/12,,19,51,251,,2,1,122,,122,,0,1,9,2,1,5,0,1,0,0,20090,2,1,0,4,,3,378,NA,,111,1,9,0
2011-022,2/21/12,1,565 U.S. 478,132 S. Ct. 1166,2011,1704,10-577,"AKIO KAWASHIMA, ET UX., PETITIONERS v. ERIC H. HOLDER, JR., ATTORNEY GENERAL.",11/7/11,,106,,327,,1,0,29,,29,,0,11,7,1,1,2,0,0,0,0,20110,2,1,0,4,,3,344,NA,108,111,1,6,3
2011-025,2/21/12,2,565 U.S. 530,132 S. Ct. 1201,2011,1704,11-391,"MARMET HEALTH CARE CENTER, INC., et al., PETITIONERS (NO. 11-391) v. CLAYTON BROWN et al.",,,165,,204,,1,0,302,57,300,57,0,12,3,2,1,5,0,1,0,0,80160,8,1,0,4,,6,600,1-Sep,,111,1,9,0
2011-026,2/22/12,1,565 U.S. 535,132 S. Ct. 1235,2011,1704,10-704,"CURT MESSERSCHMIDT et al., PETITIONERS v. BRENDA MILLENDER, AS EXECUTOR OF THE ESTATE OF AUGUSTA MILLENDER, DECEASED, et al.",12/5/11,,19,6,188,,1,0,51,,29,,1,12,2,2,1,3,0,1,0,0,20400,2,1,0,1,,2,205,NA,111,111,1,6,3
2011-027,2/22/12,1,565 U.S. 576,132 S. Ct. 1215,2011,1704,10-218,"PPL MONTANA, LLC, PETITIONER v. MONTANA",12/7/11,,219,,28,31,1,0,302,31,300,31,1,12,2,2,1,4,0,1,0,0,80130,8,1,0,7,,9,900,NA,106,111,1,9,0
2011-028,2/22/12,1,565 U.S. 606,132 S. Ct. 1204,2011,1704,09-958,"TOBY DOUGLAS, DIRECTOR, CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES, PETITIONER v. INDEPENDENT LIVING CENTER OF SOUTHERN CALIFORNIA, INC., et al.",10/3/11,,19,6,165,,1,0,29,,29,,0,11,2,1,1,5,0,1,0,0,20180,2,2,1,1,,1,148,NA,110,106,1,5,4
2011-029,2/29/12,1,565 U.S. 625,132 S. Ct. 1261,2011,1704,10-879,"GLORIA GAIL KURNS, EXECUTRIX OF THE ESTATE OF GEORGE M. CORSON, DECEASED, et al., PETITIONERS v. RAILROAD FRICTION PRODUCTS CORPORATION et al.",11/9/11,,230,,184,,1,0,109,,23,,0,12,2,2,1,2,0,0,0,0,100020,10,2,0,4,,6,600,49-20701,108,111,1,6,3
2011-030,3/5/12,1,565 U.S. 648,132 S. Ct. 1276,2011,1704,10-1265,"MICHAEL MARTEL, WARDEN, PETITIONER v. KENNETH CLAIR",12/6/11,,28,6,126,,1,0,48,,29,,0,12,5,2,1,4,0,1,0,0,20320,2,1,0,4,,6,600,18-3599,114,111,1,9,0
2011-031,3/20/12,1,566 U.S. 1,132 S. Ct. 1309,2011,1704,10-1001,"LUIS MARIANO MARTINEZ, PETITIONER v. CHARLES L. RYAN, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS",10/4/11,,215,,28,4,1,0,45,,29,,0,12,2,1,1,4,0,1,0,0,20330,2,2,0,7,,9,900,NA,106,111,1,7,2
2011-032,3/20/12,7,566 U.S. 30,132 S. Ct. 1327,2011,1704,10-1016,"DANIEL COLEMAN, PETITIONER v. COURT OF APPEALS OF MARYLAND et al.",1/11/12,,13,25,28,25,1,0,79,,24,,0,12,2,1,2,2,0,0,0,0,100070,10,1,0,2,,2,232,NA,106,111,1,5,4
2011-033,3/20/12,1,566 U.S. 93,132 S. Ct. 1350,2011,1704,10-1399,"DANA ROBERTS, PETITIONER v. SEA-LAND SERVICES, INC., et al.",1/11/12,,145,,151,,1,0,29,,29,,0,2,2,1,1,2,0,0,0,0,80040,8,1,0,4,,3,349,NA,113,111,1,8,1
2011-034,3/20/12,1,566 U.S. 66,132 S. Ct. 1289,2011,1704,10-1150,"MAYO COLLABORATIVE SERVICES, DBA MAYO MEDICAL LABORATORIES, et al., PETITIONERS v. PROMETHEUS LABORATORIES, INC.",12/7/11,,165,,165,,1,0,49,,8,,0,12,3,2,1,3,0,1,0,0,80180,8,2,0,4,7,6,600,35-101,110,111,1,9,0
2011-036,3/26/12,1,566 U.S. 221,132 S. Ct. 1414,2011,1704,10-1261,"CREDIT SUISSE SECURITIES (USA) LLC, et al., PETITIONERS v. VANESSA SIMMONDS",11/29/11,,119,,173,,1,0,129,,29,,0,12,9,1,1,5,0,1,0,0,80120,8,1,0,4,,3,365,NA,105,105,1,8,0
2011-038,3/21/12,1,566 U.S. 156,132 S. Ct. 1376,2011,1704,10-209,"BLAINE LAFLER, PETITIONER v. ANTHONY COOPER",10/31/11,,126,,28,27,1,0,81,,26,,0,12,2,1,1,5,0,1,0,0,20330,2,2,0,2,7,2,214,NA,106,106,1,5,4
2011-039,3/21/12,1,566 U.S. 134,132 S. Ct. 1399,2011,1704,10-444,"MISSOURI, PETITIONER v. GALIN E. FRYE",10/31/11,,28,30,126,,1,0,302,30,301,30,0,12,3,2,1,5,0,1,0,0,20330,2,2,0,2,,2,214,NA,106,106,1,5,4
2011-040,3/21/12,1,566 U.S. 120,132 S. Ct. 1367,2011,1704,10-1062,"CHANTELL SACKETT, et vir, PETITIONERS v. ENVIRONMENTAL PROTECTION AGENCY, et al.",1/9/12,,195,,333,,1,0,64,,29,,0,12,2,1,1,4,0,1,0,0,80130,8,2,0,4,,3,338,NA,105,111,1,9,0
2011-042,3/28/12,1,566 U.S. 257,132 S. Ct. 1479,2011,1704,10-1211,"PANAGIS VARTELAS, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",1/18/12,,106,,327,,1,0,22,,22,,0,2,2,1,1,4,0,1,0,0,20260,2,2,0,4,,6,600,110 Stat 3009,109,111,1,6,3
2011-043,3/28/12,1,566 U.S. 284,132 S. Ct. 1441,2011,1704,10-1024,"FEDERAL AVIATION ADMINISTRATION, et al., PETITIONERS v. STANMORE CAWTHON COOPER",11/30/11,,334,,214,,1,0,50,,29,,0,12,4,2,1,4,0,1,0,0,50010,5,1,0,,4,6,600,5-552,112,111,1,5,3
2011-045,4/2/12,1,566 U.S. 356,132 S. Ct. 1497,2011,1704,10-788,"CHARLES A. REHBERG, PETITIONER v. JAMES P. PAULK",11/1/11,,216,,8,58,1,0,59,,31,,0,2,2,1,1,2,0,0,0,0,20400,2,1,0,4,,3,314,NA,112,111,1,9,0
2011-047,4/17/12,1,566 U.S. 399,132 S. Ct. 1670,2011,1704,10-844,"CARACO PHARMACEUTICAL LABORATORIES, LTD., et al., PETITIONERS v. NOVO NORDISK A/S et al.",12/5/11,,143,,143,,1,0,81,,8,,1,12,3,1,1,4,0,1,0,0,80170,8,2,0,4,,6,600,21-355,114,111,1,9,0
2011-048,4/17/12,1,566 U.S. 377,132 S. Ct. 1657,2011,1704,10-1018,"STEVE A. FILARSKY, PETITIONER v. NICHOLAS B. DELIA.",1/17/12,,111,,8,6,1,0,48,,29,,0,2,6,2,1,3,0,1,0,0,20400,2,1,0,4,,3,314,NA,111,111,1,9,0
2011-049,4/18/12,1,566 U.S. 449,132 S. Ct. 1702,2011,1704,Nov-88,"ASID MOHAMAD, INDIVIDUALLY AND FOR THE ESTATE OF AZZAM RAHIM, DECEASED, et al., PETITIONERS v. PALESTINIAN AUTHORITY et al.",2/28/12,,208,,600,,1,0,55,,32,,0,2,2,1,1,2,0,0,0,0,80070,8,1,0,4,,6,600,28-1350,113,111,1,9,0
2011-050,4/18/12,1,566 U.S. 431,132 S. Ct. 1690,2011,1704,10-1219,"DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE, PETITIONER v. GILBERT P. HYATT",1/9/12,,394,,172,,1,0,55,,8,,1,12,2,2,1,2,0,0,0,0,80180,8,2,0,4,,6,600,35-145,108,111,1,9,0
2011-054,5/21/12,1,566 U.S. 541,132 S. Ct. 2021,2011,1704,11-159,"MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY, PETITIONER v. KAREN K. CAPATO, ON BEHALF OF B. N. C., et al.",3/19/12,,406,,188,,1,0,92,,23,,0,2,7,2,1,4,0,1,0,0,20170,2,1,0,4,,3,370,NA,109,111,1,9,0
2011-056,5/21/12,1,566 U.S. 583,132 S. Ct. 2011,2011,1704,10-1542,"ERIC H. HOLDER, JR., ATTORNEY GENERAL, PETITIONER  v. CARLOS MARTINEZ GUTIERREZ",1/18/12,,327,,106,,1,0,29,,29,,0,2,2,2,1,4,0,1,0,0,20110,2,1,0,4,,3,344,NA,114,111,1,9,0
2011-058,5/24/12,1,566 U.S. 624,132 S. Ct. 2034,2011,1704,10-1042,"TAMMY FORET FREEMAN, et al., PETITIONERS v. QUICKEN LOANS, INC.",2/21/12,,195,,135,,1,0,75,,25,,1,12,2,1,1,2,0,0,0,0,80170,8,1,0,4,,6,600,7-Dec,105,111,1,9,0
2011-059,5/29/12,1,566 U.S. 639,132 S. Ct. 2065,2011,1704,11-166,"RADLAX GATEWAY HOTEL, LLC, et al. v. AMALGAMATED BANK",4/23/12,,138,,113,,1,0,66,,27,,0,12,2,1,1,2,0,0,0,0,20100,2,1,0,4,,3,307,NA,105,111,1,8,0
2011-061,6/4/12,1,566 U.S. 658,132 S. Ct. 2088,2011,1704,11-262,"VIRGIL D. 'GUS' REICHLE, JR., et al., PETITIONERS v. STEVEN HOWARDS",3/21/12,,8,60,100,,1,0,52,,30,,1,11,7,2,1,4,0,1,0,0,20400,2,1,0,1,,2,200,NA,108,111,1,8,0
2011-062,6/4/12,1,566 U.S. 673,132 S. Ct. 2073,2011,1704,11-161,"CHRISTINE ARMOUR, et al., PETITIONERS v. CITY OF INDIANAPOLIS, INDIANA, et al.",2/29/12,,195,,3,18,1,0,302,18,300,18,0,11,3,1,1,2,0,0,0,0,80100,8,1,0,2,,2,231,NA,110,106,1,6,3
2011-066,6/18/12,1,567 U.S. 182,132 S. Ct. 2181,2011,1704,11-551,SALAZAR v. RAMAH NAVAJO CHAPTER,4/18/12,,326,,170,,1,0,93,,30,,1,2,3,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,25-450,113,105,1,5,4
2011-067,6/18/12,1,567 U.S. 142,132 S. Ct. 2156,2011,1704,11-204,"MICHAEL SHANE CHRISTOPHER, et al., PETITIONERS v. SMITHKLINE BEECHAM CORPORATION DBA GLAXOSMITHKLINE",4/16/12,,145,,143,,1,0,45,,29,,0,2,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,NA,112,111,1,5,4
2011-070,6/21/12,1,567 U.S. 298,132 S. Ct. 2277,2011,1704,10-1121,"DIANNE KNOX, et al., PETITIONERS v. SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 1000",1/10/12,,8,6,249,,1,0,49,,29,,1,12,4,2,1,4,0,1,0,0,70060,7,1,0,2,,2,200,NA,112,111,1,7,2
2011-075,6/25/12,1,567 U.S. 387,132 S. Ct. 2492,2011,1704,11-182,"ARIZONA, et al., PETITIONERS v. UNITED STATES",4/25/12,,28,4,27,,1,0,45,,29,,1,10,2,2,1,7,0,0,0,0,100030,10,2,0,1,,1,148,NA,106,111,1,5,3
2011-077,6/28/12,1,567 U.S. 519,132 S. Ct. 2566,2011,1704,11-393,"NATIONAL FEDERATION OF INDEPENDENT BUSINESS, et al., PETITIONERS v. KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, et al.",3/26/12,,207,,363,,1,0,57,,31,,0,2,2,1,1,6,0,0,0,0,100120,10,2,0,1,4,1,110,NA,111,111,1,5,4
2012-003,11/26/12,2,568 U.S. 17,133 S. Ct. 500,2012,1704,11-1377,"NITRO-LIFT TECHNOLOGIES, L.L.C. v. EDDIE LEE HOWARD et al.",,,151,,145,,1,0,302,42,300,42,0,12,3,2,1,5,0,1,0,0,70010,7,1,0,4,4,3,388,NA,,111,1,9,0
2012-004,11/13/12,1,568 U.S. 6,133 S. Ct. 12,2012,1704,11-192,"UNITED STATES, PETITIONER v. JAMES X. BORMES",10/2/12,,27,,111,,1,0,66,,8,,0,12,5,2,1,5,0,1,0,0,50010,5,1,0,4,,6,600,15-1681b,105,111,1,9,0
2012-005,12/10/12,1,568 U.S. 41,133 S. Ct. 596,2012,1704,11-184,"CAROLYN M. KLOECKNER, PETITIONER v. HILDA L. SOLIS, SECRETARY OF LABOR",10/2/12,,13,30,371,,1,0,86,,28,,0,12,2,1,1,4,0,1,0,0,20400,2,2,0,5,4,6,600,5-1101,114,111,1,9,0
2012-007,1/9/13,1,568 U.S. 85,133 S. Ct. 721,2012,1704,11-982,"ALREADY, LLC, DBA YUMS, PETITIONER v. NIKE, INC.",11/7/12,,184,,184,,1,0,96,,22,,0,12,2,1,1,2,0,0,0,0,80200,8,1,0,1,,1,139,NA,111,111,1,9,0
2012-008,1/8/13,1,568 U.S. 78,133 S. Ct. 710,2012,1704,11-460,"LOS ANGELES COUNTY FLOOD CONTROL DISTRICT PETITIONER v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.",12/4/12,,5,6,150,,1,0,48,,29,,0,11,7,2,1,4,0,1,0,0,80130,8,1,0,4,,3,338,NA,109,111,1,9,0
2012-012,2/19/13,1,568 U.S. 165,133 S. Ct. 1017,2012,1704,11-1347,"JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN",12/5/12,,129,,188,,1,0,42,,31,,0,12,9,1,1,5,0,1,0,0,20170,2,2,0,4,,5,509,NA,111,111,1,9,0
2012-014,2/19/13,1,568 U.S. 216,133 S. Ct. 1003,2012,1704,11-1160,"FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.",11/26/12,,357,,167,,1,0,59,,31,,0,11,2,1,1,4,0,1,0,0,80010,8,2,0,4,,3,310,NA,113,111,1,9,0
2012-020,2/26/13,1,568 U.S. 371,133 S. Ct. 1166,2012,1704,11-1175,"OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION",11/7/12,,134,,122,,1,0,52,,30,,1,2,2,1,1,2,0,0,0,0,80170,8,1,0,4,5,6,600,15-1692,108,111,1,7,2
2012-022,2/27/13,1,568 U.S. 442,133 S. Ct. 1216,2012,1704,11-1274,"MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION",1/8/13,,119,,405,,1,0,96,,22,,0,12,3,1,1,4,0,1,0,0,80120,8,2,0,4,,6,600,15-80b,111,111,1,9,0
2012-023,2/27/13,1,568 U.S. 455,133 S. Ct. 1184,2012,1704,11-1085,"AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS",11/5/12,,194,,171,,1,0,51,,29,,0,2,2,2,1,2,0,0,0,0,80120,8,2,0,4,5,3,365,NA,109,111,1,6,3
2012-024,3/4/13,1,568 U.S. 503,133 S. Ct. 1224,2012,1704,11-1351,"STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.",1/15/13,,204,,27,,1,0,62,,29,,0,2,2,1,1,4,0,1,0,0,80060,8,1,0,4,,3,374,NA,109,111,1,9,0
2012-025,3/19/13,1,568 U.S. 519,133 S. Ct. 1351,2012,1704,11-697,"SUPAP KIRTSAENG, DBA BLUECHRISTINE99, PETITIONER v. JOHN WILEY & SONS, INC.",10/29/12,,117,,220,,1,0,96,,22,,1,2,2,1,1,4,0,1,0,0,80190,8,2,0,4,,6,600,17-106,110,111,1,6,3
2012-027,3/20/13,1,568 U.S. 597,133 S. Ct. 1326,2012,1704,11-338,"DOUG DECKER, IN HIS OFFICIAL CAPACITY AS OREGON STATE FORESTER, et al., PETITIONERS v. NORTHWEST ENVIRONMENTAL DEFENSE CENTER;",12/3/12,,8,43,150,,1,0,108,,29,,0,12,3,1,1,4,0,1,0,0,80130,8,2,0,4,5,3,338,NA,106,111,1,7,1
2012-028,3/20/13,1,568 U.S. 627,133 S. Ct. 1391,2012,1704,Dec-98,"ALDONA WOS, SECRETARY, NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES, PETITIONER v. E. M. A., A MINOR, BY AND THROUGH HER GUARDIAN AD LITEM, DANIEL H. JOHNSON, et al.",1/8/13,,19,38,229,,1,0,100,,24,,0,5,5,1,1,2,0,0,0,0,100030,10,2,0,4,,3,308,NA,106,106,1,6,3
2012-029,2/20/13,1,568 U.S. 251,133 S. Ct. 1059,2012,1704,11-1118,"JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON",1/16/13,,111,,172,,1,0,302,51,300,51,1,12,2,2,1,4,0,1,0,0,100030,10,1,0,4,,6,600,35-102,111,111,1,9,0
2012-032,3/27/13,1,569 U.S. 50,133 S. Ct. 1441,2012,1704,11-10362,"KIM MILLBROOK, PETITIONER v. UNITED STATES",2/19/13,,215,,27,,1,0,110,,23,,0,2,2,1,1,4,0,1,0,0,80060,8,1,0,4,,3,374,NA,108,111,1,9,0
2012-033,4/1/13,2,569 U.S. 58,133 S. Ct. 1446,2012,1704,12-382,"JOHN MARSHALL, WARDEN v. OTIS LEE RODGERS",,,19,6,126,,1,0,48,,29,,0,12,4,2,1,4,0,1,0,0,20320,2,1,0,2,,2,214,NA,,111,1,9,0
